PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,quality_score
RANhw,r3kb1r/ppp4p/2np4/4p3/2PnN2q/3P3P/PP3P2/RNBQK2R b KQkq - 2 12,e8c8 c1g5 h4g5 e4g5,1489,74,94,24527,crushing fork middlegame short trappedPiece,https://lichess.org/WpH5DcVv/black#24,English_Opening English_Opening_The_Whale,0.7891923531911096
0vb5A,r1b1k1r1/pp3p1p/5q2/3p4/1P2n3/P4N2/4PPPP/R2QKB1R w KQq - 0 14,g2g3 f6c3 f3d2 e4d2 d1d2 c3a1,1375,75,95,27424,crushing long middlegame,https://lichess.org/4ZoDjevS#27,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations,0.7850242572958189
Q9zC7,8/pp3p2/7P/8/3kp3/1n4R1/r5PK/8 b - - 0 37,a2c2 h6h7 c2c8 g3g8 c8g8 h7g8q,1617,75,97,9932,advancedPawn advantage endgame long promotion,https://lichess.org/K40FbLMz/black#74,,0.7842401603862288
yRd4u,q4nk1/p1R4p/6p1/1p2ppQn/3p4/bP1P1PP1/PN2P2P/5RK1 w - - 5 22,b2d1 f8e6 g5d2 e6c7 d2a5 a3d6,1410,73,96,26561,advantage defensiveMove fork long middlegame,https://lichess.org/6aMZUsdC#43,,0.793101210950431
KWL9C,r2q1rk1/1p3ppp/p5b1/2P1p1b1/1PPn4/P1N4P/QB2BPP1/R2R2K1 w - - 0 18,e2d3 g6d3 d1d3 d4e2 c3e2 d8d3,1481,75,97,20478,advantage discoveredAttack long middlegame,https://lichess.org/z29yKfd3#35,Slav_Defense Slav_Defense_Other_variations,0.7916757627779772
gC1me,R7/2r2ppk/4p1p1/p2pP3/2r4P/6P1/5P2/1R4K1 b - - 3 37,d5d4 b1b8 g6g5 h4h5 c7c8 b8c8 c4c8 a8c8,1780,73,96,11255,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/7MK4BVff/black#74,,0.7758872876778382
r0ECg,8/R4pk1/3b1r1p/3B4/2P2P2/4pK1P/8/8 w - - 0 43,f3e3 d6c5 e3e4 c5a7,1611,72,96,27205,advantage endgame fork master short,https://lichess.org/EdzHXxrm#85,,0.809703335890011
CTkAN,r1b2r2/pp3pk1/7p/3R2p1/2B1p3/1P3qPP/PQ3P2/5RK1 b - - 2 30,f7f6 c4e2 f3f5 d5f5,1620,73,96,22106,crushing middlegame short trappedPiece,https://lichess.org/PCkoK7IL/black#60,,0.8033297532527635
PgSQF,2k1r3/2p2p2/1B5p/1P3p2/3Q4/1nPPP3/5P1P/4KB1q w - - 2 27,d4c4 h1f1 e1f1 b3d2 f1e2 d2c4,1520,72,94,27162,advantage attraction endgame fork long sacrifice,https://lichess.org/WXf3zh8m#53,,0.7971611817673001
jAckV,6k1/p4pp1/3rp2p/7N/2P2PPb/1P1r1R1P/P3R1K1/8 w - - 3 36,h5g3 d3f3 g2f3 d6d3 e2e3 d3e3 f3e3 h4g3,1543,75,96,18109,attraction crushing endgame veryLong,https://lichess.org/Tqh4MxMK#71,,0.7901923953506713
Q7iFd,1r1q3r/2p2pk1/1p1p1np1/1PnPp1Np/1RP5/6P1/3QPPBP/4R1K1 b - - 1 20,h8h6 g5f7 g7f7 d2h6,1554,75,95,24060,advantage deflection discoveredAttack middlegame short,https://lichess.org/5eeZkDRw/black#40,,0.7947160371088704
8U3ZX,rnb1k2r/pppp2pp/4p3/5p2/1bPPn2q/2N1BPP1/PP2P2P/R2QKBNR b KQkq - 2 7,b4c3 b2c3 e4g3 e3f2 h4h6 f2g3,1689,73,96,25864,advantage long opening,https://lichess.org/DvST9PxA/black#14,Dutch_Defense Dutch_Defense_Normal_Variation,0.8021204254049878
Ne7uP,6r1/p4pk1/2p1p3/2b4R/4KB1P/1Br1P3/P4P2/8 b - - 1 36,g7f8 h5c5 c3c5 f4d6 f8e8 d6c5,1721,74,96,12823,advantage attraction endgame fork long sacrifice,https://lichess.org/9ayKsZBr/black#72,,0.7815304255689312
Z6RvP,1R6/8/4p3/3p1n1P/6P1/3nk3/1p6/6K1 b - - 0 47,f5g7 h5h6 g7e8 h6h7 e8f6 h7h8q,1610,77,95,20876,advancedPawn crushing endgame long promotion,https://lichess.org/qnASKllV/black#94,,0.7920197208425924
G7g9W,1r3r2/R4p1k/1pBp1q1b/1N1Pp2p/1P2P2p/Q5P1/2P2PK1/5N2 w - - 0 30,a3f3 h4h3 g2h3 f6f3,1407,74,96,20635,crushing deflection middlegame short,https://lichess.org/JaqxeRJI#59,,0.7852340324087828
xBHx0,6k1/p4q1p/1p2p3/2pbb1Pp/3pN3/1P1P3Q/P1PB3P/6K1 b - - 0 25,e5f4 e4f6 g8f8 d2f4,1509,76,95,28445,crushing endgame interference short,https://lichess.org/sqH96cDF/black#50,,0.7938026106011515
0Kx6o,r3nrk1/2qb1pp1/4p2p/3p3Q/3B4/P1PB4/2P2PPP/R4RK1 w - - 0 18,h5g4 e6e5 d4e5 d7g4 e5c7 e8c7,1747,79,95,17658,advantage discoveredAttack long middlegame,https://lichess.org/bUFwYcFN#35,Sicilian_Defense Sicilian_Defense_Open,0.7759248727118793
LJiNy,r1b2rk1/4nppp/p7/1p6/1Q1P2PP/3B1N2/qPP5/2KR3R b - - 1 17,e7d5 d3h7 g8h7 b4f8,1574,76,94,10621,crushing deflection kingsideAttack middlegame short,https://lichess.org/CUja1MeS/black#34,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,0.7720901386029393
I6fZ5,5rk1/4ppb1/pq1r2p1/1p1N3p/3PQ3/4P3/PP3RPP/5RK1 b - - 3 21,b6a7 d5e7 g8h7 f2f7 f8f7 f1f7,1662,78,94,12980,crushing deflection kingsideAttack long middlegame,https://lichess.org/NSDjpWOt/black#42,,0.7733695977772097
Cg8Nj,8/6R1/3r2p1/3n1pKp/5P2/4kP1B/7P/8 w - - 6 57,g7g6 d6g6 g5g6 d5f4 g6f5 f4h3 f5g6 h3f4,1720,74,96,17328,attraction crushing endgame fork veryLong,https://lichess.org/8vHnCOIw#113,,0.7887408406695138
ebRvN,8/4k3/1p2n1p1/p1pKP2p/P1P4P/1P3N2/8/8 b - - 7 54,e6d4 f3d4 c5d4 d5d4 e7e6 d4e4,1575,75,96,11860,crushing defensiveMove endgame knightEndgame long,https://lichess.org/fXw1STcg/black#108,,0.7824444392083628
bLyf9,r4rk1/1bq3pp/p3pp2/2bn4/8/P1N5/1PQBBPPP/R4RK1 w - - 0 16,c3d5 c5f2 f1f2 c7c2,1572,75,97,8860,advantage discoveredAttack middlegame short,https://lichess.org/VUBCBU2t#31,Sicilian_Defense Sicilian_Defense_OKelly_Variation,0.7783155481046145
chuuw,r2q1rk1/pp3pbp/2np1np1/2p1p3/3P1B2/2PBPQ1P/PP1N1PP1/R4RK1 w - - 0 11,d4e5 d6e5 f4g5 d8d3,1588,78,96,22002,advantage discoveredAttack middlegame short,https://lichess.org/tDsfXdvD#21,Modern_Defense Modern_Defense_Other_variations,0.7930261337829311
khadW,2kr1b1r/Bpp1q1pp/5p2/4n3/2b2P2/2PB4/P1P3PP/1R1QR1K1 b - - 0 14,e7a3 d3f5 c4e6 f5e6,1537,78,94,25097,crushing middlegame short,https://lichess.org/ozTY21fu/black#28,Russian_Game Russian_Game_Other_variations,0.7865014505753354
LIMng,2bb2k1/1p3p2/3R2p1/P1pP4/2P2P2/8/5P2/6K1 b - - 0 35,d8c7 a5a6 c7d6 a6a7,1646,76,95,22145,advancedPawn advantage endgame master sacrifice short,https://lichess.org/S5Tc1640/black#70,,0.7935130782789849
EQjwk,r2qr1k1/1p3ppp/p7/3p4/3Bn3/P2QP3/1PP2PPP/R3K2R w KQ - 3 17,f2f3 d8h4 g2g3 e4g3 e1c1 g3h1,1616,74,95,14571,advantage long middlegame,https://lichess.org/nRWDZgWV#33,Rapport-Jobava_System Rapport-Jobava_System_Other_variations,0.7889228839610147
ZL1LK,2rq3k/pp2b1p1/7p/2P3n1/8/1PN1Q3/P1P3PP/2R2NK1 w - - 1 23,c1d1 d8d1 c3d1 e7c5 e3c5 c8c5,1679,74,97,14017,advantage long middlegame pin sacrifice,https://lichess.org/9zSz2MNX#45,,0.7896435408131292
1DjRa,r3r1k1/1p3pp1/p1pp3p/5bq1/8/2QN4/PPP2PPP/2KR2NR w - - 1 18,f2f4 g5g2 g1e2 g2e2,1507,78,96,31058,advantage middlegame short,https://lichess.org/tYp6qxza#35,Center_Game Center_Game_Normal_Variation,0.7954101918533991
K4bUS,8/5p1p/1p4r1/2kPK1p1/p1P3P1/3R1P2/7P/8 w - - 2 43,d5d6 g6e6 e5f5 e6d6,1641,76,96,7424,crushing deflection endgame master rookEndgame short,https://lichess.org/bZzZ4mXy#85,,0.7709574311098449
VZ7OQ,1r2rk2/1p4pB/3p1R2/p1p1P2Q/P1qb4/8/6PP/7K b - - 0 36,g7f6 h5h6 f8e7 h6f6 e7d7 f6d6 d7c8 h7f5 c4e6 f5e6,1572,77,97,19173,crushing endgame exposedKing veryLong,https://lichess.org/a5cjwjqy/black#72,,0.7932857358528312
CWpke,2rqk1r1/3p4/p2Bpp1p/n5p1/4Q3/2P2P1P/P4P2/R3K2R b KQ - 1 21,a5c6 e4h7 c6e7 d6e7 d8e7 h7g8,1439,73,96,23127,capturingDefender crushing long middlegame trappedPiece,https://lichess.org/ZBlW5lvJ/black#42,,0.7918914275841153
7aE0N,3r1rk1/p1p3pp/1p2p3/4N1q1/3PQn2/8/P1P2PPP/R4RK1 w - - 1 18,c2c3 f4h3 g1h1 h3f2 f1f2 f8f2,1470,74,94,14469,crushing deflection fork long middlegame pin,https://lichess.org/DlletvpM#35,Queens_Pawn_Game Queens_Pawn_Game_Veresov_Attack,0.7753202940803763
t9UjY,7r/2k2pp1/1Rn1p2p/3pP2P/3P2P1/r7/3KNP2/1R6 b - - 2 25,h8b8 b6c6 c7c6 b1b8,1328,73,95,28060,crushing deflection discoveredAttack endgame short,https://lichess.org/BzzJoMD6/black#50,,0.7855416723348646
BGhn8,8/8/8/2P2p2/1p3Pp1/k2K2P1/3P4/8 w - - 1 42,d3c2 a3a2 c5c6 b4b3 c2d3 b3b2,1609,73,96,11718,advancedPawn crushing endgame long pawnEndgame,https://lichess.org/G1DhqmG5#83,,0.7879224814286335
ElIed,r2q1r2/ppp1npkp/3p1np1/3P1b2/2P1N3/3BPN2/PP1Q1PPP/R3K2R b KQ - 0 12,f6e4 d3e4 f5e4 d2d4 g7g8 d4e4,1490,75,97,18525,advantage clearance fork long middlegame,https://lichess.org/NffSdnkD/black#24,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation,0.7899425052192671
nM6xx,8/7p/3n1kp1/3P1p2/pp1K4/3B3P/1PP3P1/8 w - - 0 36,d4c5 a4a3 c5d6 a3a2,1672,75,94,15817,advancedPawn crushing endgame sacrifice short,https://lichess.org/cfEAmCXu#71,,0.7823418430316323
dvclv,1r3k2/RpRP1pp1/4p1p1/1r6/8/4P3/5KPP/8 b - - 0 37,f8e7 c7c8 e7d7 c8b8,1576,78,98,11402,crushing endgame rookEndgame short,https://lichess.org/MhG2Mei1/black#74,,0.7825821415679849
p1cUQ,4R3/p3Q1pp/2p1p1qk/2r3r1/8/2P1P3/P4PPP/5RK1 w - - 14 26,e7e6 g5g2 g1h1 g2h2 h1h2 c5h5,1542,76,96,15649,attraction crushing endgame long sacrifice,https://lichess.org/w8g6CU9n#51,,0.7849923915783115
u1zOd,2k4r/pp2bp2/8/5Q2/3Pp3/Pq6/8/3RKR2 b - - 1 30,c8b8 f5e5 e7d6 e5h8,1609,78,96,27408,crushing endgame fork short,https://lichess.org/E6WGWs10/black#60,,0.7997366522291637
sZWhr,2k2r1r/pp4pp/2pbq3/5nP1/5nQ1/2P1N3/PP1BPP2/R3KB1R w KQ - 4 21,e3f5 f4d3 e1d1 d3f2,1692,74,96,10192,crushing deflection middlegame pin short,https://lichess.org/i6cQ5sCi#41,,0.7781585524640637
x9R8u,r2q1rk1/p4pbp/2pp1np1/4p1B1/2B1PPb1/2N5/PPP3PP/R2QR1K1 w - - 1 12,g5f6 d8b6 g1h1 g4d1,1791,72,96,17155,crushing middlegame short,https://lichess.org/K7jNmrt6#23,Sicilian_Defense Sicilian_Defense_Modern_Variations,0.7867612033206215
4JSp7,2R3k1/3n1pp1/n2qp2p/P2pN3/3P4/1N2PP2/6PP/6K1 b - - 4 26,g8h7 c8h8 h7h8 e5f7 h8h7 f7d6,1466,74,95,29590,advantage attraction endgame fork long sacrifice,https://lichess.org/XwVNRulL/black#52,,0.7949980766884939
agc81,r3kbnr/p4ppp/2p1b3/4P3/1q6/5Q2/PP3PPP/RNB1K1NR w KQkq - 2 11,f3c3 b4e4 g1e2 f8b4 e1g1 b4c3,1519,77,95,22019,clearance crushing long opening pin,https://lichess.org/Z3TWyIgF#21,French_Defense French_Defense_Steiner_Variation,0.7867790197671296
UZESh,r2q1rk1/p1p3pp/2pb1n2/6B1/4p3/5N2/PPP2PPP/R2QR1K1 w - - 0 13,e1e4 d6h2 f3h2 d8d1 a1d1 f6e4,1466,75,94,27917,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/4bF0bROh#25,Nimzowitsch_Defense Nimzowitsch_Defense_Colorado_Countergambit_Accepted,0.7889513792367513
ALfAx,6k1/5pp1/p3b3/6p1/1pN2n2/1P2BP1P/1P1R1KP1/2r5 b - - 5 32,e6c4 d2d8 g8h7 e3c1,1473,78,96,19480,advantage discoveredAttack endgame master short,https://lichess.org/ufuLxuab/black#64,,0.781919244612236
QfA0E,4r3/1p1k1ppp/pB6/P2P4/6n1/1B4b1/1P4P1/3R3K b - - 0 29,g4f2 b6f2 g3f2 b3a4,1527,78,95,22004,advantage endgame short,https://lichess.org/jzMrSKHI/black#58,,0.7856680317400228
F2NyJ,8/4k3/6Kp/3P2bP/8/p7/B7/8 b - - 2 55,g5f6 d5d6 e7d7 g6f6,1656,76,94,10805,bishopEndgame crushing deflection endgame master short,https://lichess.org/fKCiVpHi/black#110,,0.7727832994813313
NqtEW,3r4/3P1K1P/2k5/p1b5/8/8/2R5/8 b - - 2 61,a5a4 c2c5 c6c5 f7e7 d8h8 d7d8q,1467,76,95,23607,advancedPawn crushing endgame long master promotion sacrifice,https://lichess.org/psFTe91Z/black#122,,0.786379949247337
Ek5hf,5R2/6pk/p3Q3/1p6/3p4/1P2b3/KPP1b3/6q1 b - - 2 36,g1g6 f8h8 h7h8 e6g6,1781,77,95,13383,advantage deflection endgame short,https://lichess.org/MqsVXHzH/black#72,,0.7702551539232105
cwIHg,2r5/8/3k1p1p/5Pp1/R1p1r3/P4KP1/8/2R5 b - - 4 41,d6e5 a4a5 e5d4 c1d1 d4c3 f3e4 c8e8 e4f3,1487,72,96,34636,crushing defensiveMove deflection endgame rookEndgame veryLong,https://lichess.org/HgiH6Fyh/black#82,,0.8065660571045468
htrg4,7k/4bp1P/3p1n2/pp3BQ1/8/8/qPP2PP1/2KR4 w - - 0 33,d1d6 a2a1 c1d2 f6e4 f5e4 e7g5,1647,75,96,9696,advantage discoveredAttack endgame long,https://lichess.org/VCyNdAU2#65,,0.7785255826876887
r3xRb,3r2r1/p3n3/1p2k2p/3p4/4pp1P/1B6/PP3P1P/3R1KR1 b - - 1 37,e7f5 g1g8 d8g8 b3d5 e6f6 d5g8,1510,76,97,28425,crushing endgame long skewer,https://lichess.org/3OnsmKzW/black#74,,0.7998574124739241
Bj5Wp,r1b1k3/pp3p2/4p3/3P4/3nP2N/2q3P1/P4PB1/1R1Q2K1 w q - 3 24,b1c1 c3c1 d1c1 d4e2 g1f1 e2c1,1649,75,96,14409,attraction crushing fork long middlegame pin sacrifice,https://lichess.org/KP5Yuy8F#47,,0.787775256416995
imwua,3r2k1/p1p2pp1/2r2b1p/2qp4/8/1PP4P/P2Q1PP1/1N1RR1K1 w - - 1 21,d1c1 f6g5 d2d3 g5c1,1671,74,95,11809,crushing middlegame short skewer,https://lichess.org/bkgY3iCI#41,,0.7801511716445466
bDbIq,3rk2r/R3bpp1/2p1p3/4q3/7p/2P1B2P/1P2B1P1/Q4RK1 w k - 0 25,a1c1 e7c5 e3c5 e5c5 g1h1 c5a7,1486,74,95,19566,advantage fork long middlegame,https://lichess.org/rpQrFxiU#49,,0.78661959596724
ES3z7,3r1k2/5Bp1/R2p3p/1r2pP2/7b/1Qp4P/2P1qPP1/5RK1 w - - 1 30,b3e6 h4f2 f1f2 b5b1 g1h2 e2f2,1668,77,96,14253,crushing deflection kingsideAttack long master middlegame sacrifice,https://lichess.org/ViFcSRrv#59,,0.7828257040971646
zFLTz,1R5Q/p1p1kpp1/5q2/6N1/4P3/6p1/PP3b2/K4b2 b - - 1 32,f6g5 h8d8 e7e6 d8g5,1577,73,97,28639,crushing endgame short skewer,https://lichess.org/yAcaiu1m/black#64,,0.8098243937205307
Vyie6,6k1/2B4p/6p1/8/pbK5/6P1/7P/8 b - - 1 38,a4a3 c4b4 a3a2 c7e5,1608,77,95,14985,bishopEndgame crushing defensiveMove endgame hangingPiece master short,https://lichess.org/mhIIVNa9/black#76,,0.7840153401082678
s5zpw,r1b1kb1r/ppp1qppp/5nn1/3P2B1/2B1N3/8/PP3PPP/R2QK1NR w KQkq - 5 10,g5f6 e7e4 d1e2 e4e2 g1e2 g7f6,1574,75,95,17826,crushing fork hangingPiece long opening,https://lichess.org/uGRKbFeO#19,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations,0.7890347904200709
nilng,2r5/R1P2k2/6pp/8/3pKPPb/8/4B3/8 w - - 0 46,e4d4 h4f2 d4e5 f2a7,1274,73,96,21727,advantage endgame short skewer,https://lichess.org/S03Lp6Lq#91,,0.7786166312374242
TFOHD,r3k1r1/pp3p2/1qp2P2/2bpP3/6p1/4PR2/PP1Q1NP1/4R1K1 w q - 0 24,f3g3 c5b4 d2e2 b4e1,1525,72,96,30872,advantage middlegame short skewer,https://lichess.org/ZE3LlZzO#47,,0.8065543939292
SrEP3,4b1k1/pp4p1/1q2p1P1/4PpNP/2p2B2/2P1PP2/PP1K4/R6R w - - 1 28,h5h6 b6b2 d2e1 b2a1 e1f2 a1h1,1672,79,96,20797,crushing endgame interference long master skewer,https://lichess.org/d602S3kc#55,,0.7881654656812679
iUxCQ,4r1k1/6p1/3qp1B1/1p1pR3/p4r1P/2PQ1P2/7K/R7 w - - 0 37,g6h7 g8h8 a1e1 f4h4,1537,75,95,26131,advantage defensiveMove middlegame short,https://lichess.org/nwwzZYyL#73,,0.7954587796696253
tmwDT,r1bq1rk1/3pn2p/2p2pp1/p3p3/P1P1P3/3B4/1BP2PPP/R2Q1RK1 w - - 0 13,f2f4 d8b6 c4c5 b6b2,1542,75,98,16521,advantage fork middlegame short,https://lichess.org/8g0L2pYy#25,Sicilian_Defense Sicilian_Defense_Accelerated_Dragon,0.7939447915700346
ZsaiO,8/8/4kp2/1p6/1P2K3/5P2/8/8 b - - 2 44,f6f5 e4d4 e6d6 f3f4 d6c6 d4e5,1590,75,95,19734,crushing defensiveMove endgame long master pawnEndgame quietMove zugzwang,https://lichess.org/OGPVyPqu/black#88,,0.7925895338041734
M0w7u,8/1p1k1p2/2ppp3/p7/P1PbP1Q1/4B3/1q3PP1/2R2KNr w - - 6 31,g4e2 h1g1 f1g1 b2e2,1750,76,95,23389,advantage deflection middlegame short,https://lichess.org/2qvs6SxX#61,,0.7873751213456925
VgbVd,8/1p1QNqpp/1p6/1k1p4/8/2P3PP/7K/r7 b - - 2 38,b5a5 e7c6 b7c6 d7f7,1526,76,94,19447,crushing discoveredAttack endgame short,https://lichess.org/pRsSLRXg/black#76,,0.7830007963172392
9VIk2,3q1r1k/5pbp/1pR3p1/pn1B4/3P4/5Q2/P4PPP/4R1K1 w - - 4 27,d5f7 b5d4 f3h3 d4c6 f7g6 h7h6,1611,76,96,17656,advantage defensiveMove fork long middlegame,https://lichess.org/B5m5fQg3#53,,0.7927856608780314
U6CEe,2r5/1p4pk/pq2p3/3pN3/1P1n1P2/P5P1/4r2P/R2R2QK w - - 2 32,g1d4 e2e1 d1e1 b6d4,1400,79,94,20002,advantage deflection middlegame short,https://lichess.org/Q1fVVUr1#63,,0.7696615841575257
4GbCt,3rr3/pBpk1ppp/3b4/8/8/1P6/P1bP1PPP/RNB1R1K1 w - - 1 13,e1e8 d8e8 g2g3 e8e1 g1g2 e1c1,1549,76,96,16770,advantage fork long middlegame,https://lichess.org/NHIUIOi6#25,Italian_Game Italian_Game_Two_Knights_Defense,0.7871331818252326
AyX77,r2qr2k/p1p3bp/4Bpp1/8/3n1B2/2NP3P/PPP2P1P/R2QR1K1 w - - 5 19,e6b3 e8e1 d1e1 d4f3 g1g2 f3e1,1369,74,96,25182,advantage attraction fork long middlegame,https://lichess.org/aIgAXkvG#37,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,0.7872397114662605
Oi2Wz,8/8/8/8/PPR2b2/2P5/4rk2/3K4 w - - 1 39,a4a5 e2d2 d1c1 d2d4 c1c2 d4c4,1412,75,97,30799,crushing discoveredAttack endgame exposedKing long,https://lichess.org/16FxJaK4#77,,0.796421060885059
lA1WJ,1r3rk1/4ppbp/p2p1np1/2pP4/P3P3/q1N3PB/2Q2PKP/1R2B3 b - - 0 21,b8b1 c3b1 a3a1 e1c3,1599,75,95,26391,crushing middlegame short,https://lichess.org/CkjJ9A6F/black#42,,0.8001252772154124
rraZ6,8/8/5p2/p2BnK2/Pk2P2p/1P2P3/8/8 w - - 0 48,f5f6 h4h3 f6e5 h3h2,1602,76,96,16293,advancedPawn crushing endgame master masterVsMaster sacrifice short,https://lichess.org/s3o5mddZ#95,,0.790237397393544
tiaym,1K2Q3/2Q2ppk/7p/5n2/1q6/8/8/8 w - - 2 57,c7b7 b4b7 b8b7 f5d6 b7c6 d6e8,1425,75,96,15041,attraction crushing endgame fork long,https://lichess.org/tGKFMPlD#113,,0.7773563454287461
fYvAu,8/1p6/4R1bP/p5P1/P7/1P6/4pk1K/8 b - - 1 51,e2e1q e6e1 f2e1 h2g3 e1d2 g3f4,1504,75,96,8493,crushing defensiveMove endgame long,https://lichess.org/QkAdnCFK/black#102,,0.7694519071598078
GkyLz,r3r1k1/2p2pbp/1p4p1/p3P3/2Q2P2/1N4P1/q1P3KP/1R2R3 b - - 2 25,a8c8 b1a1 a2b2 e1b1 g7e5 b1b2,1558,75,96,12264,advantage clearance long middlegame trappedPiece,https://lichess.org/T4nK0XW8/black#50,,0.7820235090235691
pcF9C,3r4/5pkp/p3p1p1/8/2PN1n2/1P6/P2R2PP/6K1 b - - 1 25,e6e5 d4f5 g7f6 d2d8,1598,76,94,12108,crushing discoveredAttack endgame short,https://lichess.org/bS7KmgID/black#50,,0.7769124917643495
9SIDG,5r2/1b4kp/3R1np1/p1p5/2B5/NP2r2P/1P3RP1/2K5 b - - 1 29,f6e4 d6d7 g7h6 f2f8,1456,77,96,32395,crushing deflection fork middlegame short,https://lichess.org/vyuDhrbN/black#58,,0.794430789618335
xps4D,1r6/p1pkq3/5n1p/N2p2p1/3pP3/2b3B1/P1P1RPPP/3Q2K1 w - - 0 24,e4d5 e7e2 d1e2 b8b1 e2f1 b1f1,1617,74,96,12437,crushing kingsideAttack long middlegame sacrifice,https://lichess.org/RNPj54Cz#47,,0.788239604900226
ZBTAo,2k1r3/8/p6p/4n1p1/P1p5/1BP2P2/6PP/2B1R1K1 w - - 0 27,b3c2 e5f3 g1f2 f3e1,1384,80,96,30928,crushing endgame short,https://lichess.org/FOmLtdU3#53,,0.7831854056122985
kwHmQ,1r4k1/ppp2pp1/7p/8/3P4/2P2QP1/P1Pq1P2/1R4K1 w - - 1 25,b1b2 d2c1 g1g2 c1b2,1376,75,95,23279,crushing endgame fork short,https://lichess.org/VksjmLaI#49,,0.7812102087538813
WIp9m,r5rk/1pp4q/p7/8/3p1R1Q/3P2Pb/PPP4P/R5K1 b - - 10 30,a8f8 h4h7 h8h7 f4h4 h7g6 h4h3,1491,76,96,26117,advantage attraction exposedKing fork long middlegame,https://lichess.org/7KQcEx9S/black#60,,0.793491342960074
8Rqwc,8/5p2/5P2/p6b/4BKp1/Pk6/8/8 b - - 5 53,b3a3 f4g5 h5g6 e4g6 g4g3 g6e4,1703,73,96,17484,bishopEndgame crushing defensiveMove endgame long,https://lichess.org/4os6AGiR/black#106,,0.7918351711641987
SHKlc,2r5/1pq1n1k1/4pn2/p2p2pP/3P2P1/1P1Q4/P5BN/3R2K1 w - - 0 29,d3e3 c7h2 g1h2 f6g4 h2g1 g4e3,1511,76,95,12199,attraction crushing exposedKing fork long middlegame sacrifice,https://lichess.org/NPfnTE9a#57,,0.7738712984616137
WlKPg,8/N4pk1/1p2b1pp/2p4q/P1n1Q3/2P3P1/1P5P/5RK1 w - - 2 29,f1f2 h5d1 f2f1 d1f1 g1f1 c4d2 f1e2 d2e4,1561,78,95,12061,advantage attraction endgame fork sacrifice veryLong,https://lichess.org/7kGefIyn#57,,0.7738421954197142
